"","Test Taker","Form","Form2","Login","First Name","Last Name","Grade","Age","Gender","Race","Ethnicity","ESL","IEP","Reading Level","  1","  2","  8"," 17"," 39"," 41"," 42"," 45"," 54"," 55"," 60"," 64"," 69"," 85"," 87"," 90"," 91"," 92"," 97","113","115","118","150","153","154","155","156","160","316","317","319","320","322","324","326","328","329","333","335","337","341","355","356","368","372","377","379","380","386","388","391","393","395","396","398","400","403","405","407","409","410","411","412","413","414","415","420","422","424","425","426","443","448","449","462","465","466","471","472","481","482","483","484","486","490","499","501","502","503","505","509","511","512","513","515","517","518","520","532","533","536","542","544","548","551","totscore"
"192","DIMES Pilot GNV 124","A",NA,"bw124","NS","s124",4,10,1,6,0,0,0,NA,NA,NA,NA,0,1,NA,1,NA,NA,NA,NA,NA,0,0,NA,1,NA,NA,NA,NA,0,1,NA,0,NA,1,0,0,1,1,NA,NA,0,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,0,0,1,NA,0,1,NA,NA,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,NA,1,NA,NA,NA,1,0,1,1,NA,NA,NA,1,1,0,NA,NA,1,NA,0,NA,NA,NA,NA,NA,1,1,NA,1,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,24
"193","DIMES Pilot GNV 126","A",NA,"bw126","NS","s126",4,10,1,6,0,0,0,NA,NA,NA,NA,1,1,NA,0,NA,NA,NA,NA,NA,1,0,NA,1,NA,NA,NA,NA,0,1,NA,1,NA,0,1,0,1,1,NA,NA,0,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,0,0,0,NA,1,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,1,1,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,32
"194","DIMES Pilot GNV 130","A",NA,"bw130","NS","s130",4,9,0,6,0,0,0,NA,NA,NA,NA,0,1,NA,1,NA,NA,NA,NA,NA,1,0,NA,0,NA,NA,NA,NA,0,0,NA,1,NA,0,0,0,0,1,NA,NA,0,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,0,NA,1,1,NA,NA,NA,NA,1,0,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,1,0,1,1,NA,NA,NA,1,1,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,1,NA,1,1,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,24
"195","DIMES Pilot GNV 132","A",NA,"bw132","NS","s132",4,9,1,7,0,0,0,NA,NA,NA,NA,0,0,NA,1,NA,NA,NA,NA,NA,1,0,NA,1,NA,NA,NA,NA,0,0,NA,1,NA,0,0,0,NA,1,NA,NA,0,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,0,0,0,NA,1,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,1,1,0,NA,NA,NA,0,1,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,0,NA,1,1,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,18
"196","DIMES Pilot GNV 135","A",NA,"bw135","NS","s135",4,9,0,6,0,0,0,NA,NA,NA,NA,0,1,NA,0,NA,NA,NA,NA,NA,0,1,NA,0,NA,NA,NA,NA,0,0,NA,1,NA,1,0,0,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,0,0,NA,0,0,NA,NA,NA,NA,1,1,NA,0,NA,NA,1,NA,NA,NA,1,NA,NA,1,1,0,1,1,NA,NA,NA,0,0,0,NA,NA,0,NA,1,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,24
"197","DIMES Pilot GNV 136","A",NA,"bw136","NS","s136",4,10,0,6,0,0,0,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,1,0,NA,0,NA,NA,NA,NA,0,0,NA,1,NA,1,0,0,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,0,0,0,NA,1,0,NA,NA,NA,NA,1,1,NA,0,NA,NA,0,NA,NA,NA,1,NA,NA,1,1,1,1,0,NA,NA,NA,1,1,0,NA,NA,1,NA,0,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,26
"198","DIMES Pilot GNV 137","A",NA,"bw137","NS","s137",4,10,0,6,0,0,0,NA,NA,NA,NA,0,1,NA,1,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,0,1,NA,1,NA,0,1,1,1,1,NA,NA,1,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,0,0,NA,1,0,NA,NA,NA,NA,1,1,NA,0,NA,NA,1,NA,NA,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,0,1,0,NA,NA,1,NA,0,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,31
"199","DIMES Pilot GNV 139","A","Z","bw139","TR","s139",3,8,0,6,0,0,0,2,1,1,1,0,0,NA,NA,1,NA,0,NA,0,1,0,1,0,1,NA,NA,0,1,0,NA,1,NA,1,0,0,1,1,1,NA,0,NA,0,1,1,1,1,1,1,NA,NA,1,1,0,1,NA,0,0,1,1,NA,0,1,1,NA,1,0,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,0,1,0,0,1,1,NA,1,0,1,1,1,NA,1,1,NA,0,1,NA,NA,NA,0,NA,1,0,1,1,56
"200","DIMES Pilot GNV 140","A",NA,"bw140","TR","s140",3,8,1,6,0,0,0,2,NA,NA,NA,1,0,NA,0,NA,NA,NA,NA,NA,1,0,NA,0,NA,NA,NA,NA,0,0,NA,0,NA,1,0,0,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,1,0,NA,1,0,NA,NA,NA,NA,1,1,NA,0,NA,NA,0,NA,NA,NA,1,NA,NA,1,1,0,1,1,NA,NA,NA,1,1,0,NA,NA,1,NA,0,NA,NA,NA,NA,NA,0,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,25
"201","DIMES Pilot GNV 141","A","Z","bw141","TR","s141",3,8,0,6,0,0,0,3,1,1,1,1,1,NA,1,1,NA,1,NA,1,1,1,1,1,0,NA,NA,1,NA,1,NA,1,NA,0,1,1,1,1,1,NA,0,NA,1,1,1,1,0,1,1,1,NA,1,1,1,1,NA,1,0,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,0,1,1,1,0,1,1,1,1,0,1,NA,1,1,1,0,1,NA,1,1,NA,1,1,NA,NA,NA,0,NA,1,1,1,1,71
"202","DIMES Pilot GNV 142","A","Z","bw142","TR","s142",3,9,1,6,0,0,0,3,1,1,1,1,1,NA,1,1,NA,1,NA,1,0,1,1,0,1,NA,NA,1,1,0,NA,1,NA,0,0,0,1,NA,1,NA,1,NA,0,1,1,0,0,1,1,0,NA,1,0,1,1,NA,1,1,1,0,NA,0,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,0,1,1,1,NA,1,1,1,1,0,0,0,0,0,0,1,NA,1,1,1,1,1,NA,1,1,NA,0,1,NA,NA,NA,1,NA,1,1,1,1,60
"203","DIMES Pilot GNV 143","A","Z","bw143","TR","s143",3,8,0,6,0,0,0,1,1,1,0,1,1,NA,1,1,NA,0,NA,0,1,1,0,0,0,NA,NA,0,0,0,NA,1,NA,0,0,0,0,1,1,NA,0,NA,0,1,1,NA,1,1,1,0,NA,1,1,0,1,NA,0,0,1,0,NA,0,0,1,NA,0,1,1,0,NA,1,1,1,NA,NA,0,0,0,0,NA,NA,0,0,NA,1,0,0,0,0,0,NA,1,NA,1,0,1,1,1,NA,1,0,NA,0,1,NA,NA,NA,NA,NA,0,0,0,1,35
"204","DIMES Pilot GNV 144","A","Z","bw144","TR","s144",3,8,1,6,0,0,0,2,1,1,1,1,1,NA,1,1,NA,0,NA,0,1,1,0,0,0,NA,NA,0,1,0,NA,0,NA,0,0,0,1,1,1,NA,NA,NA,0,1,1,0,1,1,1,1,NA,1,1,1,1,NA,0,1,1,1,NA,0,1,0,NA,0,1,1,1,NA,1,1,0,NA,1,1,1,0,1,1,NA,1,0,0,1,0,0,0,0,1,0,1,NA,1,0,1,0,1,NA,1,1,NA,0,1,NA,NA,NA,0,NA,1,0,1,1,50
